Attribute:data,Attribute:val,
14/08/2003,28.02,
15/08/2003,28.42,
18/08/2003,28.32,
19/08/2003,27.94,
20/08/2003,28.02,
21/08/2003,28.73,
22/08/2003,29.17,
25/08/2003,29.01,
26/08/2003,29.04,
27/08/2003,28.77,
28/08/2003,28.8,
29/08/2003,28.9,
01/09/2003,28.62,
02/09/2003,27.52,
03/09/2003,26.86,
04/09/2003,26.69,
05/09/2003,26.35,
08/09/2003,26.41,
09/09/2003,26.44,
10/09/2003,26.52,
11/09/2003,26.48,
12/09/2003,25.94,
15/09/2003,25.79,
16/09/2003,25.59,
17/09/2003,25.16,
18/09/2003,24.9,
19/09/2003,24.82,
22/09/2003,24.82,
23/09/2003,25.14,
24/09/2003,25.59,
25/09/2003,26.37,
26/09/2003,26.11,
29/09/2003,26.38,
30/09/2003,26.82,
01/10/2003,27.08,
02/10/2003,27.6,
03/10/2003,27.85,
06/10/2003,28.19,
07/10/2003,28.11,
08/10/2003,27.99,
09/10/2003,28.6,
10/10/2003,29.88,
13/10/2003,29.75,
14/10/2003,29.78,
15/10/2003,29.66,
16/10/2003,29.74,
17/10/2003,28.89,
20/10/2003,28.4,
21/10/2003,28.4,
22/10/2003,28.16,
23/10/2003,28.1,
24/10/2003,28.23,
27/10/2003,28.12,
28/10/2003,27.77,
29/10/2003,27.58,
30/10/2003,26.98,
31/10/2003,27.17,
03/11/2003,27.19,
04/11/2003,26.77,
05/11/2003,27.49,
06/11/2003,27.84,
07/11/2003,28.3,
10/11/2003,28.58,
11/11/2003,28.63,
12/11/2003,28.63,
13/11/2003,28.94,
14/11/2003,29.26,
17/11/2003,28.9,
18/11/2003,29.21,
19/11/2003,29.79,
20/11/2003,29.45,
21/11/2003,29.41,
24/11/2003,28.29,
25/11/2003,27.98,
26/11/2003,28.15,
27/11/2003,28.39,
28/11/2003,28.45,
01/12/2003,27.92,
02/12/2003,28.43,
03/12/2003,28.68,
04/12/2003,29.02,
05/12/2003,28.69,
08/12/2003,29.47,
09/12/2003,29.73,
10/12/2003,29.64,
11/12/2003,29.42,
12/12/2003,29.9,
15/12/2003,30.04,
16/12/2003,30.34,
17/12/2003,30.45,
18/12/2003,30.73,
19/12/2003,30.71,
22/12/2003,29.62,
23/12/2003,29.13,
24/12/2003,29.91,
29/12/2003,29.53,
30/12/2003,29.73,
31/12/2003,29.87,
02/01/2004,29.41,
05/01/2004,29.85,
06/01/2004,30.33,
07/01/2004,30.23,
08/01/2004,30.41,
09/01/2004,30.88,
12/01/2004,30.96,
13/01/2004,31.08,
14/01/2004,30.53,
15/01/2004,30.37,
16/01/2004,30.27,
19/01/2004,30.73,
20/01/2004,31.01,
21/01/2004,30.74,
22/01/2004,30.71,
23/01/2004,30.74,
26/01/2004,30.17,
27/01/2004,29.99,
28/01/2004,29.49,
29/01/2004,28.98,
30/01/2004,28.68,
02/02/2004,29.06,
03/02/2004,29.19,
04/02/2004,28.55,
05/02/2004,28.2,
06/02/2004,28.2,
09/02/2004,28.09,
10/02/2004,28.75,
11/02/2004,29.13,
12/02/2004,28.96,
13/02/2004,29.74,
16/02/2004,29.72,
17/02/2004,30.08,
18/02/2004,30.52,
19/02/2004,30.44,
20/02/2004,30.17,
23/02/2004,30.2,
24/02/2004,30.55,
25/02/2004,30.89,
26/02/2004,31,
27/02/2004,31.13,
01/03/2004,31.82,
02/03/2004,32.48,
03/03/2004,31.82,
04/03/2004,32.05,
05/03/2004,32.75,
08/03/2004,32.59,
09/03/2004,32.3,
10/03/2004,31.67,
11/03/2004,31.95,
12/03/2004,31.94,
15/03/2004,32.3,
16/03/2004,32.59,
17/03/2004,32.95,
18/03/2004,33.03,
19/03/2004,33.01,
22/03/2004,32.46,
23/03/2004,32.83,
24/03/2004,32.85,
25/03/2004,31.93,
26/03/2004,31.57,
29/03/2004,31.13,
30/03/2004,31.7,
31/03/2004,31.49,
01/04/2004,30.79,
02/04/2004,30.18,
05/04/2004,29.9,
06/04/2004,30.22,
07/04/2004,31.32,
08/04/2004,32.37,
12/04/2004,32.92,
13/04/2004,32.6,
14/04/2004,32.1,
15/04/2004,32.54,
16/04/2004,32.85,
19/04/2004,32.89,
20/04/2004,32.45,
21/04/2004,32.15,
22/04/2004,32.5,
23/04/2004,32.58,
26/04/2004,32.87,
27/04/2004,33.32,
28/04/2004,33.67,
29/04/2004,33.33,
30/04/2004,33.99,
03/05/2004,34.13,
04/05/2004,34.71,
05/05/2004,35.3,
06/05/2004,35.88,
07/05/2004,36.12,
10/05/2004,35.42,
11/05/2004,35.57,
12/05/2004,36.74,
13/05/2004,36.93,
14/05/2004,37.67,
17/05/2004,37.72,
18/05/2004,36.93,
19/05/2004,37.12,
20/05/2004,37.44,
21/05/2004,36.4,
24/05/2004,37.05,
25/05/2004,37.36,
26/05/2004,36.99,
27/05/2004,36.02,
28/05/2004,36.01,
31/05/2004,36.17,
01/06/2004,37.64,
02/06/2004,36.8,
03/06/2004,35.86,
04/06/2004,34.94,
07/06/2004,34.64,
08/06/2004,34.45,
09/06/2004,33.91,
10/06/2004,34.59,
11/06/2004,34.59,
14/06/2004,34.29,
15/06/2004,33.72,
16/06/2004,33.93,
17/06/2004,34.69,
18/06/2004,35.19,
21/06/2004,34.65,
22/06/2004,34.36,
23/06/2004,34.24,
24/06/2004,34.1,
25/06/2004,33.95,
28/06/2004,33.07,
29/06/2004,32.5,
30/06/2004,32.68,
01/07/2004,34,
02/07/2004,34.75,
05/07/2004,34.88,
06/07/2004,35.58,
07/07/2004,35.47,
08/07/2004,35.91,
09/07/2004,36.05,
12/07/2004,35.83,
13/07/2004,35.13,
14/07/2004,35.79,
15/07/2004,36.58,
16/07/2004,36.81,
19/07/2004,36.89,
20/07/2004,36.49,
21/07/2004,36.16,
22/07/2004,36.6,
23/07/2004,36.96,
26/07/2004,37.02,
27/07/2004,37.27,
28/07/2004,37.95,
29/07/2004,37.94,
30/07/2004,38.69,
02/08/2004,39.04,
03/08/2004,39.33,
04/08/2004,39.29,
05/08/2004,39.55,
06/08/2004,39.67,
09/08/2004,40.04,
10/08/2004,40,
11/08/2004,40.08,
12/08/2004,40.76,
13/08/2004,41.33,
16/08/2004,41.7,
17/08/2004,41.75,
18/08/2004,42.07,
19/08/2004,42.6,
20/08/2004,43.16,
23/08/2004,42.27,
24/08/2004,41.43,
25/08/2004,40.45,
26/08/2004,39.02,
27/08/2004,39.05,
30/08/2004,38.48,
31/08/2004,38.15,
01/09/2004,38.81,
02/09/2004,39.68,
03/09/2004,39.12,
06/09/2004,38.66,
07/09/2004,38.13,
08/09/2004,38.19,
09/09/2004,38.74,
10/09/2004,38.82,
13/09/2004,38.3,
14/09/2004,39.07,
15/09/2004,39.02,
16/09/2004,38.44,
17/09/2004,39.5,
20/09/2004,40.2,
21/09/2004,40.71,
22/09/2004,41.75,
23/09/2004,42.27,
24/09/2004,42.31,
27/09/2004,42.9,
28/09/2004,43.54,
29/09/2004,43.13,
30/09/2004,43.39,
01/10/2004,43.29,
04/10/2004,43.28,
05/10/2004,43.8,
06/10/2004,44.26,
07/10/2004,45.08,
08/10/2004,45.19,
11/10/2004,46.04,
12/10/2004,46.49,
13/10/2004,44.99,
14/10/2004,45.48,
15/10/2004,46.14,
18/10/2004,45.47,
19/10/2004,44.98,
20/10/2004,45.87,
21/10/2004,46.61,
22/10/2004,46.52,
25/10/2004,46.06,
26/10/2004,45.48,
27/10/2004,44.75,
28/10/2004,43.59,
29/10/2004,43.39,
01/11/2004,43.31,
02/11/2004,41.98,
03/11/2004,41.44,
04/11/2004,40.53,
05/11/2004,38.56,
08/11/2004,38.67,
09/11/2004,38.03,
10/11/2004,37.73,
11/11/2004,37.16,
12/11/2004,36.96,
15/11/2004,36.11,
16/11/2004,35.94,
17/11/2004,35.49,
18/11/2004,36.2,
19/11/2004,37.53,
22/11/2004,38.62,
23/11/2004,38.69,
24/11/2004,38.95,
25/11/2004,39.06,
26/11/2004,38.89,
29/11/2004,39.46,
30/11/2004,39.77,
01/12/2004,38.03,
02/12/2004,35.42,
03/12/2004,34.53,
06/12/2004,34.89,
07/12/2004,34.21,
08/12/2004,33.78,
09/12/2004,34.29,
10/12/2004,33.92,
13/12/2004,33.99,
14/12/2004,34.72,
15/12/2004,36.47,
16/12/2004,36.84,
17/12/2004,37.87,
20/12/2004,38.34,
21/12/2004,38.26,
22/12/2004,37.41,
23/12/2004,36.71,
24/12/2004,36.58,
27/12/2004,35.3,
28/12/2004,34.81,
29/12/2004,35.54,
30/12/2004,36.19,
31/12/2004,36.43,
03/01/2005,35.67,
04/01/2005,36.57,
05/01/2005,37.24,
06/01/2005,38.19,
07/01/2005,39.35,
10/01/2005,40.12,
11/01/2005,39.45,
12/01/2005,39.81,
13/01/2005,41.08,
14/01/2005,41.8,
17/01/2005,41.81,
18/01/2005,41.97,
19/01/2005,41.52,
20/01/2005,40.68,
21/01/2005,41.63,
24/01/2005,42.49,
25/01/2005,42.68,
26/01/2005,43.1,
27/01/2005,43.01,
28/01/2005,41.88,
31/01/2005,40.95,
01/02/2005,41.28,
02/02/2005,40.62,
03/02/2005,40.19,
04/02/2005,40.73,
07/02/2005,39.98,
08/02/2005,39.79,
09/02/2005,39.94,
10/02/2005,40.54,
11/02/2005,41.38,
14/02/2005,41.44,
15/02/2005,41.84,
16/02/2005,41.87,
17/02/2005,42.56,
18/02/2005,42.68,
21/02/2005,43.12,
22/02/2005,44.28,
23/02/2005,44.72,
24/02/2005,45.24,
25/02/2005,45.49,
28/02/2005,46.26,
01/03/2005,46.17,
02/03/2005,47.01,
03/03/2005,48.36,
04/03/2005,48.37,
07/03/2005,48.15,
08/03/2005,49.01,
09/03/2005,49.87,
10/03/2005,49.4,
11/03/2005,49.2,
14/03/2005,49.59,
15/03/2005,50.21,
16/03/2005,50.78,
17/03/2005,51.76,
18/03/2005,51.67,
21/03/2005,51.76,
22/03/2005,51.03,
23/03/2005,49.09,
24/03/2005,50.12,
28/03/2005,49.26,
29/03/2005,49.04,
30/03/2005,48.8,
31/03/2005,50.23,
01/04/2005,51.65,
04/04/2005,52.93,
05/04/2005,52.27,
06/04/2005,52.1,
07/04/2005,51.85,
08/04/2005,49.94,
11/04/2005,49.14,
12/04/2005,49.43,
13/04/2005,47.84,
14/04/2005,47.5,
15/04/2005,47.08,
18/04/2005,46.52,
19/04/2005,47.71,
20/04/2005,49.02,
21/04/2005,49.25,
22/04/2005,50.61,
25/04/2005,50.17,
26/04/2005,49.9,
27/04/2005,48.88,
28/04/2005,48.03,
29/04/2005,47.9,
02/05/2005,47.79,
03/05/2005,47.4,
04/05/2005,47.33,
05/05/2005,47.63,
06/05/2005,47.92,
09/05/2005,47.82,
10/05/2005,48.16,
11/05/2005,47.39,
12/05/2005,45.87,
13/05/2005,45.54,
16/05/2005,45.47,
17/05/2005,45.6,
18/05/2005,45.11,
19/05/2005,44.65,
20/05/2005,45.27,
23/05/2005,45.5,
24/05/2005,45.7,
25/05/2005,46.41,
26/05/2005,47.17,
27/05/2005,47.45,
30/05/2005,47.62,
31/05/2005,47.6,
01/06/2005,49.3,
02/06/2005,50.23,
03/06/2005,50.72,
06/06/2005,51.18,
07/06/2005,50.74,
08/06/2005,50.21,
09/06/2005,50.55,
10/06/2005,50.74,
13/06/2005,50.83,
14/06/2005,52.05,
15/06/2005,52.26,
16/06/2005,50.18,
17/06/2005,51.58,
20/06/2005,52.78,
21/06/2005,52.88,
22/06/2005,52.34,
23/06/2005,52.69,
24/06/2005,53.36,
27/06/2005,54.26,
28/06/2005,53.82,
29/06/2005,52.5,
30/06/2005,52.01,
01/07/2005,52.58,
04/07/2005,53.41,
05/07/2005,53.9,
06/07/2005,54.8,
07/07/2005,54.82,
08/07/2005,54.94,
11/07/2005,53.31,
12/07/2005,54.31,
13/07/2005,54.53,
14/07/2005,53.37,
15/07/2005,52.44,
18/07/2005,52.38,
19/07/2005,51.9,
20/07/2005,52.15,
21/07/2005,51.23,
22/07/2005,51.81,
25/07/2005,52.07,
26/07/2005,52.69,
27/07/2005,52.86,
28/07/2005,53.13,
29/07/2005,54.2,
01/08/2005,55.12,
02/08/2005,55.13,
03/08/2005,55.43,
04/08/2005,55.07,
05/08/2005,55.29,
08/08/2005,56.57,
09/08/2005,56.45,
10/08/2005,57.3,
11/08/2005,58.28,
12/08/2005,59.14,
15/08/2005,59.05,
16/08/2005,58.89,
17/08/2005,57.71,
18/08/2005,56.51,
19/08/2005,57.53,
22/08/2005,58.1,
23/08/2005,58.15,
24/08/2005,58.9,
25/08/2005,59.75,
26/08/2005,59.76,
29/08/2005,60.33,
30/08/2005,60.36,
31/08/2005,61.1,
01/09/2005,61.37,
02/09/2005,60.73,
05/09/2005,59.22,
06/09/2005,59.05,
07/09/2005,58.43,
08/09/2005,57.48,
09/09/2005,57.58,
12/09/2005,56.73,
13/09/2005,55.82,
14/09/2005,56.28,
15/09/2005,57.53,
16/09/2005,56.62,
19/09/2005,57.56,
20/09/2005,58.3,
21/09/2005,58.9,
22/09/2005,59.28,
23/09/2005,57.71,
26/09/2005,56.91,
27/09/2005,57.71,
28/09/2005,57.65,
29/09/2005,58.17,
30/09/2005,58.02,
03/10/2005,58.11,
04/10/2005,56.48,
05/10/2005,55.86,
06/10/2005,54.27,
07/10/2005,53.72,
10/10/2005,53.97,
11/10/2005,54.47,
12/10/2005,55.37,
13/10/2005,55.23,
14/10/2005,54.34,
17/10/2005,55.24,
18/10/2005,54.41,
19/10/2005,53.64,
20/10/2005,52.85,
21/10/2005,52.47,
24/10/2005,52.63,
25/10/2005,53.29,
26/10/2005,54.41,
27/10/2005,53.79,
28/10/2005,53.73,
31/10/2005,52.99,
01/11/2005,52.91,
02/11/2005,52.88,
03/11/2005,53.45,
04/11/2005,54.25,
07/11/2005,52.86,
08/11/2005,52.31,
09/11/2005,52.2,
10/11/2005,51.3,
11/11/2005,50.25,
14/11/2005,50.43,
15/11/2005,50.01,
16/11/2005,49.73,
17/11/2005,50.11,
18/11/2005,49.49,
21/11/2005,50.15,
22/11/2005,50.7,
23/11/2005,51.05,
24/11/2005,50.89,
25/11/2005,50.42,
28/11/2005,50.04,
29/11/2005,49.78,
30/11/2005,49.69,
01/12/2005,50.71,
02/12/2005,51.87,
05/12/2005,52.72,
06/12/2005,52.85,
07/12/2005,52.88,
08/12/2005,52.94,
09/12/2005,53.95,
12/12/2005,53.5,
13/12/2005,54.44,
14/12/2005,54.62,
15/12/2005,54.44,
16/12/2005,53.25,
19/12/2005,51.62,
20/12/2005,51.37,
21/12/2005,51.43,
22/12/2005,51.98,
23/12/2005,51.53,
27/12/2005,51.14,
28/12/2005,51.73,
29/12/2005,52.9,
30/12/2005,53.47,
03/01/2006,55.6,
04/01/2006,56.38,
05/01/2006,56.61,
06/01/2006,56.78,
09/01/2006,57.29,
10/01/2006,57.11,
11/01/2006,56.87,
12/01/2006,57.63,
13/01/2006,57.16,
16/01/2006,57.76,
17/01/2006,58.58,
18/01/2006,59.42,
19/01/2006,59.26,
20/01/2006,60.63,
23/01/2006,60.9,
24/01/2006,60.51,
25/01/2006,59.33,
26/01/2006,59.3,
27/01/2006,60.22,
30/01/2006,60.42,
31/01/2006,60.4,
01/02/2006,60.77,
02/02/2006,59.49,
03/02/2006,58.33,
06/02/2006,59.34,
07/02/2006,58.17,
08/02/2006,57.19,
09/02/2006,57.17,
10/02/2006,56.63,
13/02/2006,55.85,
14/02/2006,55.3,
15/02/2006,54.35,
16/02/2006,53.62,
17/02/2006,54.58,
20/02/2006,55.78,
21/02/2006,56.07,
22/02/2006,55.72,
23/02/2006,55.18,
24/02/2006,56.43,
27/02/2006,56.38,
28/02/2006,56.01,
01/03/2006,57.13,
02/03/2006,58.1,
03/03/2006,59.17,
06/03/2006,58.64,
07/03/2006,57.47,
08/03/2006,56.04,
09/03/2006,55.73,
10/03/2006,56.18,
13/03/2006,56.41,
14/03/2006,57.69,
15/03/2006,58.3,
16/03/2006,57.45,
17/03/2006,58.47,
20/03/2006,57.32,
21/03/2006,56.14,
22/03/2006,56.78,
23/03/2006,57.14,
24/03/2006,58.05,
27/03/2006,58.02,
28/03/2006,59.05,
29/03/2006,59.95,
30/03/2006,60.64,
31/03/2006,61.17,
03/04/2006,61.82,
04/04/2006,61.01,
05/04/2006,61.08,
06/04/2006,62.13,
07/04/2006,61.8,
10/04/2006,62.61,
11/04/2006,63.61,
12/04/2006,63.84,
13/04/2006,63.82,
17/04/2006,65.02,
18/04/2006,65.8,
19/04/2006,66.36,
20/04/2006,67,
21/04/2006,66.84,
24/04/2006,67.37,
25/04/2006,66.21,
26/04/2006,66.94,
27/04/2006,65.63,
28/04/2006,65.48,
01/05/2006,66.2,
02/05/2006,68.37,
03/05/2006,68.05,
04/05/2006,66.07,
05/05/2006,64.98,
08/05/2006,64.51,
09/05/2006,65.05,
10/05/2006,65.6,
11/05/2006,67.27,
12/05/2006,67.02,
15/05/2006,64.67,
16/05/2006,63.83,
17/05/2006,63.75,
18/05/2006,62.95,
19/05/2006,63.42,
22/05/2006,62.51,
23/05/2006,64.45,
24/05/2006,64.48,
25/05/2006,63.91,
26/05/2006,65.1,
29/05/2006,65.12,
30/05/2006,65.41,
31/05/2006,64.88,
01/06/2006,64.84,
02/06/2006,65.01,
05/06/2006,66.48,
06/06/2006,65.93,
07/06/2006,65.43,
08/06/2006,63.84,
09/06/2006,64.85,
12/06/2006,65.41,
13/06/2006,63.2,
14/06/2006,62.66,
15/06/2006,63.1,
16/06/2006,63.02,
19/06/2006,62.64,
20/06/2006,62.95,
21/06/2006,62.87,
22/06/2006,64.36,
23/06/2006,64.4,
26/06/2006,64.59,
27/06/2006,65.79,
28/06/2006,65.89,
29/06/2006,66.6,
30/06/2006,67.29,
03/07/2006,68.28,
04/07/2006,67.85,
05/07/2006,67.92,
06/07/2006,68.74,
07/07/2006,68.77,
10/07/2006,67.9,
11/07/2006,68.1,
12/07/2006,68.66,
13/07/2006,70.27,
14/07/2006,71.71,
17/07/2006,71.4,
18/07/2006,70.29,
19/07/2006,68.46,
20/07/2006,68.45,
21/07/2006,68.44,
24/07/2006,67.99,
25/07/2006,68.71,
26/07/2006,68.25,
27/07/2006,69.07,
28/07/2006,68.97,
31/07/2006,68.42,
01/08/2006,69.97,
02/08/2006,71.2,
03/08/2006,71.08,
04/08/2006,71.08,
07/08/2006,72.12,
08/08/2006,72.68,
09/08/2006,72.54,
10/08/2006,70.94,
11/08/2006,70.34,
14/08/2006,69.54,
15/08/2006,69.01,
16/08/2006,68.24,
17/08/2006,66.85,
18/08/2006,67.02,
21/08/2006,67.92,
22/08/2006,67.99,
23/08/2006,67.34,
24/08/2006,67,
25/08/2006,68.1,
28/08/2006,66.03,
29/08/2006,65.4,
30/08/2006,65,
31/08/2006,65.18,
01/09/2006,65.35,
04/09/2006,64.13,
05/09/2006,63.54,
06/09/2006,63.27,
07/09/2006,62.74,
08/09/2006,62.04,
11/09/2006,60.7,
12/09/2006,60.37,
13/09/2006,58.95,
14/09/2006,59.22,
15/09/2006,58.45,
18/09/2006,58.67,
19/09/2006,58.85,
20/09/2006,56.23,
21/09/2006,55.92,
22/09/2006,56.15,
25/09/2006,54.92,
26/09/2006,55.86,
27/09/2006,55.92,
28/09/2006,57.57,
29/09/2006,57.38,
02/10/2006,57.19,
03/10/2006,54.99,
04/10/2006,54.1,
05/10/2006,55.27,
06/10/2006,55.05,
09/10/2006,55.7,
10/10/2006,55.31,
11/10/2006,54.16,
12/10/2006,54.19,
13/10/2006,54.9,
16/10/2006,55.34,
17/10/2006,56.17,
18/10/2006,55.27,
19/10/2006,54.56,
20/10/2006,55.07,
23/10/2006,53.44,
24/10/2006,53.78,
25/10/2006,54.96,
26/10/2006,56.12,
27/10/2006,55.53,
30/10/2006,54.87,
31/10/2006,53.37,
01/11/2006,54.25,
02/11/2006,54.25,
03/11/2006,54.07,
06/11/2006,54.91,
07/11/2006,55.64,
08/11/2006,55.18,
09/11/2006,56.41,
10/11/2006,56.57,
13/11/2006,55.42,
14/11/2006,55.19,
15/11/2006,55.33,
16/11/2006,55.44,
17/11/2006,53.9,
20/11/2006,54.03,
21/11/2006,54.9,
22/11/2006,55.26,
23/11/2006,54.98,
24/11/2006,55.29,
27/11/2006,55.76,
28/11/2006,56.48,
29/11/2006,57.32,
30/11/2006,58.71,
01/12/2006,59.66,
04/12/2006,59.7,
05/12/2006,59.19,
06/12/2006,59.1,
07/12/2006,58.66,
08/12/2006,58.63,
11/12/2006,57.74,
12/12/2006,57.41,
13/12/2006,57,
14/12/2006,57.43,
15/12/2006,58.39,
18/12/2006,58.4,
19/12/2006,57.44,
20/12/2006,58.2,
21/12/2006,58.05,
22/12/2006,57.98,
26/12/2006,57.45,
27/12/2006,56.43,
28/12/2006,56.12,
29/12/2006,55.97,
02/01/2007,56.16,
03/01/2007,55.42,
04/01/2007,53.26,
05/01/2007,51.3,
08/01/2007,51.88,
09/01/2007,51.2,
10/01/2007,50.6,
11/01/2007,49.22,
12/01/2007,48.68,
15/01/2007,49.36,
16/01/2007,48.58,
17/01/2007,47.97,
18/01/2007,48.24,
19/01/2007,48.3,
22/01/2007,49.72,
23/01/2007,49.6,
24/01/2007,50.92,
25/01/2007,51.27,
26/01/2007,51.04,
29/01/2007,51.28,
30/01/2007,50.82,
31/01/2007,52.62,
01/02/2007,53.49,
02/02/2007,53.64,
05/02/2007,54.66,
06/02/2007,54.68,
07/02/2007,54.4,
08/02/2007,53.6,
09/02/2007,55.08,
12/02/2007,53.99,
13/02/2007,53.38,
14/02/2007,53.76,
15/02/2007,52.88,
16/02/2007,53.69,
19/02/2007,53.87,
20/02/2007,53.42,
21/02/2007,54,
22/02/2007,55.14,
23/02/2007,56.55,
26/02/2007,57.07,
27/02/2007,57.24,
28/02/2007,56.69,
01/03/2007,58.47,
02/03/2007,58.65,
05/03/2007,57.32,
06/03/2007,57.21,
07/03/2007,58.2,
08/03/2007,58.73,
09/03/2007,58.29,
12/03/2007,57.37,
13/03/2007,57.38,
14/03/2007,57.23,
15/03/2007,57.28,
16/03/2007,56.86,
19/03/2007,56.74,
20/03/2007,56.59,
21/03/2007,56.87,
22/03/2007,57.91,
23/03/2007,59.05,
26/03/2007,60.16,
27/03/2007,60.49,
28/03/2007,61.88,
29/03/2007,62.52,
30/03/2007,63.79,
02/04/2007,64.06,
03/04/2007,63.87,
04/04/2007,63.48,
05/04/2007,64.16,
09/04/2007,63.74,
10/04/2007,62.82,
11/04/2007,63.54,
12/04/2007,63.83,
13/04/2007,64.88,
16/04/2007,64.05,
17/04/2007,63.14,
18/04/2007,61.96,
19/04/2007,61.98,
20/04/2007,62.23,
23/04/2007,63.1,
24/04/2007,63.94,
25/04/2007,63.69,
26/04/2007,64.2,
27/04/2007,64.03,
30/04/2007,64.26,
01/05/2007,64.81,
02/05/2007,63.69,
03/05/2007,63.19,
04/05/2007,63.1,
07/05/2007,61.93,
08/05/2007,62.1,
09/05/2007,62.19,
10/05/2007,62.36,
11/05/2007,63.15,
14/05/2007,63.79,
15/05/2007,63.79,
16/05/2007,64.55,
17/05/2007,65.29,
18/05/2007,66.01,
21/05/2007,66.24,
22/05/2007,66.62,
23/05/2007,66.36,
24/05/2007,66.93,
25/05/2007,66.57,
28/05/2007,66.2,
29/05/2007,65.49,
30/05/2007,64.3,
31/05/2007,64.45,
01/06/2007,64.6,
04/06/2007,65.81,
05/06/2007,66.34,
06/06/2007,66.58,
07/06/2007,67.18,
08/06/2007,66.23,
11/06/2007,65.14,
12/06/2007,65.46,
13/06/2007,65.67,
14/06/2007,66.87,
15/06/2007,67.5,
18/06/2007,68.02,
19/06/2007,68.33,
20/06/2007,67.7,
21/06/2007,67.7,
22/06/2007,67.5,
25/06/2007,67.38,
26/06/2007,67.53,
27/06/2007,67.41,
28/06/2007,67.72,
29/06/2007,68.02,
02/07/2007,68.73,
03/07/2007,69.65,
04/07/2007,69.89,
05/07/2007,70.38,
06/07/2007,71.33,
